"","R_basic","intervention_efficacy","Location","n_intros"
"1",0.309411734808236,0.139158719219267,"Marburg",20
"2",0.118027572054416,0.846392980078235,"Marburg",20
"3",0.77616422669962,0.692423628643155,"Marburg",20
"4",0.0377599289640784,0.855958305997774,"Marburg",20
"5",1.78588864021003,0.990222564199939,"Marburg",20
"6",0.448887891601771,0.586853421293199,"Marburg",20
"7",0.174492683261633,0.431290188571438,"Marburg",20
"8",0.264629357960075,0.461080899927765,"Marburg",20
"9",0.719797221478075,0.467090372694656,"Marburg",20
"10",0.46084433211945,0.222089444752783,"Marburg",20
"11",0.230029297526926,0.888268786016852,"Marburg",20
"12",0.366106746951118,0.109376361127943,"Marburg",20
"13",0.750470898114145,0.598129862453789,"Marburg",20
"14",1.04950001137331,0.401741453912109,"Marburg",20
"15",0.161156810587272,0.0555971215944737,"Marburg",20
"16",2.22550453338772,0.645306792343035,"Marburg",20
"17",0.943517321487889,0.956689797574654,"Marburg",20
"18",0.220708124572411,0.0942173225339502,"Marburg",20
"19",0.731031214585528,0.863398794317618,"Marburg",20
"20",0.398606105474755,0.472050209296867,"Marburg",20
"21",0.524939630180597,0.443664259277284,"Marburg",20
"22",0.373422951204702,0.0198211804963648,"Marburg",20
"23",0.370432931464165,0.758182229474187,"Marburg",20
"24",0.437062444863841,0.250171979190782,"Marburg",20
"25",1.12672331230715,0.965438482584432,"Marburg",20
"26",0.335677518742159,0.179820850957185,"Marburg",20
"27",0.127540491521358,0.283348608994856,"Marburg",20
"28",0.856801524292678,0.641549644293264,"Marburg",20
"29",0.551143907010555,0.325003407662734,"Marburg",20
"30",0.374501930549741,0.955369745381176,"Marburg",20
"31",1.0395894125104,0.637649984331802,"Marburg",20
"32",1.77965580672026,0.990747886011377,"Marburg",20
"33",0.0677876088302583,0.913492224179208,"Marburg",20
"34",0.5528272355441,0.073168157832697,"Marburg",20
"35",1.13022872968577,0.957224237034097,"Marburg",20
"36",0.878950879443437,0.790038909297436,"Marburg",20
"37",0.609618924558163,0.285166621906683,"Marburg",20
"38",0.823810922680423,0.636951741296798,"Marburg",20
"39",0.745819580974057,0.654869218356907,"Marburg",20
"40",0.0247311992570758,0.33046822110191,"Marburg",20
"41",0.00686288997530937,0.320962046505883,"Marburg",20
"42",1.16429545450956,0.910691858734936,"Marburg",20
"43",0.838323062751442,0.478088424075395,"Marburg",20
"44",0.314030762063339,0.0241104159504175,"Marburg",20
"45",0.891247323481366,0.466092001646757,"Marburg",20
"46",0.43042306532152,0.910070130135864,"Marburg",20
"47",0.562868910608813,0.895974004874006,"Marburg",20
