outbreak,year,r_per_day,r_lo,r_hi,tg_mean_days,tg_n_pairs,tg_sd_days
Belgrade 1967,1967,,,,10.0,1,
DRC 1999,1999,0.0064,0.0015,0.0113,10.8,5,3.56
Kenya 1980,1980,,,,16.0,1,
Marburg 1967,1967,0.0886,-0.0036,0.1808,,0,
Rwanda 2024,2024,0.1201,0.0743,0.1658,,0,
South Africa 1975,1975,,,,12.5,2,4.95
Tanzania 2023,2023,0.2795,-0.0164,0.5753,10.0,7,1.91
Uganda 2012,2012,0.0163,-0.0003,0.0329,11.71,7,5.77
Uganda 2017,2017,,,,16.67,3,5.51
