mu,shape
11.268641,9.063288
10.778254,3.7966983
11.627563,4.1367154
12.615177,7.9996624
12.262093,7.443514
10.802446,7.9146943
10.707376,6.951466
11.882956,8.888172
12.258477,6.254376
10.730719,10.356916
15.295791,5.2881174
11.68548,6.3464146
11.316852,5.8272734
10.457679,4.1491537
12.804264,4.4407167
11.415916,7.4289813
12.457809,4.771227
9.988096,4.831911
11.550103,8.326782
11.217791,7.648497
12.806926,4.718838
9.298165,6.2013106
11.62066,3.6322992
11.0057745,6.369763
11.218831,2.829
11.176226,4.8797884
12.332373,6.0470514
10.765736,6.279238
11.979247,10.335449
10.346753,6.3923254
12.047762,4.525181
9.068709,3.863592
12.092021,6.9947004
11.454731,5.769213
9.938335,6.0792
9.603152,6.3153353
11.581856,6.543615
10.76503,4.987005
10.960037,6.208869
12.088116,6.8151517
10.757647,8.371697
12.510484,6.3285527
10.706581,6.9334497
13.449448,4.9432516
11.350744,7.821989
11.075398,4.7725534
10.380082,10.318657
10.273717,4.725629
10.579964,6.287941
12.055917,8.766663
10.623596,8.095469
13.422801,4.545288
9.030257,3.3566957
9.954761,5.463424
10.824874,6.636565
10.723332,4.8265414
12.168195,9.578929
10.564354,6.3375554
10.600975,5.935314
10.842477,4.731738
11.054422,4.8389354
10.63549,9.383254
12.023707,5.7127533
10.978407,6.143631
11.142202,7.8268337
11.668584,7.9716897
12.95355,6.166504
11.979373,8.653316
10.377152,6.5281696
11.489857,3.944364
13.4628315,6.536606
12.849317,4.384788
12.22426,5.3480406
12.190649,5.418366
12.921705,5.946472
12.476934,7.8946605
11.190589,6.9934154
10.082712,6.440473
12.281391,4.000267
10.73425,5.801298
10.94319,4.6179185
9.824333,4.039414
11.018374,3.499804
12.761404,6.170723
9.975464,3.349328
9.1995325,3.5096452
12.361507,7.213048
10.497736,6.2932267
11.40582,5.6732173
11.026513,8.150002
10.837057,5.0824695
10.3604355,6.984808
11.144572,5.522425
11.3893795,5.2527056
10.141245,4.763022
10.603247,6.927493
10.458903,5.758643
11.530441,6.736913
